SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
deschampsia-chapmanii,,,,,,,,,,,,,,,,,,,,,,,,,,,
deschampsia-gracillima,,,,,,,,,,,,,,,,,,,,,,,,,,,
deschampsia-pusilla,0.5mm,,,,,,,8-5mm,5.5-17x0.3-0.5mm,1.5-2.2mm; 0.3-0.5mm,,,,,,,,,,1x0.4mm,,,2-4.5cm,,,,
deschampsia-tenella,,,,,,,,,,,,,,,,,,,,,,,,,,,
deyeuxia-aucklandica,,,,,,,,,,,,,,,,,,,,,,,,,,,
deyeuxia-avenoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
deyeuxia-lacustris,0.30-0.65mm,,,,,,,15-45x5-8mm,,4-5mm,,0.4-0.5mm,0.6mm,,,,,,,2.0x0.6mm,,,300mm,1.0-1.5mm,1.0-1.5mm,,
deyeuxia-quadriseta,,,,,,,,,,,,,,,,,,,,,,,,,,,
deyeuxia-youngii,,,,,,,,70-160x5-23mm,120-350x1-4mm,5-6mm,,,,,,,,,,,,,0.3-1.3m,,,,
dichelachne-crinita,0.7-2.0mm; 0.2-0.9mm,,,,,,5.5-10.0mm,100-250mm,400x1.5-5.0mm,4.5-8.0mm,,0.5-0.7mm,,3-5mm,,,,,,2.0-2.5x0.3-0.4mm,,,,,,,
dichelachne-inaequiglumis,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichelachne-lautumia,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichelachne-micrantha,1.2-1.4mm; 0.6-0.8mm,,,,,,,100-250mm,200x1.5-2.5mm,3.5-5.0mm; 2.5-4.0mm,,0.4-0.8mm,,2-3mm,,,,,,2.0-2.3x0.3-0.4mm,,,,,,,
echinopogon-ovatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
eragrostis-leptostachya,,,,,,,,,,,,,,,,,,,,,,,,,,,
festuca-actae,3.5-4.4mm,,,,,,,,50-100mm; 200.0-600.0x0.4-0.7mm; 0.10-0.15mm,6-9mm,0.1-0.2mm,0.7-1.5mm,0.5-1.0mm,6-8mm,,,,,,3-4.8mm,,,,1.4-2.8mm,1.4-2.8mm,,
festuca-contracta,0.6-0.8mm,,,,,,8-11mm,50-130mm,50-100mm; 120-250x0.8-1.0mm,7mm; 0.2-0.4mm,0.25mm,,1.00-1.25mm,6.5-7.0mm,,,,,,2.7-3.0mm,,,,2-3mm,2-3mm,,
festuca-deflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,
festuca-luciarum,2.0-3.5mm,,,10mm,,,,20-100mm,20-80mm; 30.0-120.0x0.6-1.0mm,5-7mm; 0.3-0.5mm; 0.3-1.0mm,,1.0-1.4mm,1mm,5.5-7.0mm,,,,,10mm,3mm,,,,1.75-3.00mm,1.75-3.00mm,,
festuca-madida,,,,,,,,,,,,,,,,,,,,,,,,,,,
festuca-matthewsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
festuca-multinodis,2.0-3.0mm,,,,,,,25-200mm,30-100mm; 50.0-250.0x0.3-0.9mm,5-6mm,,0.7-1.5mm,0.6-1.0mm,4.5-6.5mm,,,,,,3.0-3.5mm,,,,1.5-2.5mm,1.5-2.5mm,,
festuca-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
festuca-ultramafica,2-3mm,,,,,,,60-140mm,30-40mm; 60.0-120cmx0.6-1.2mm,5-7mm,,0.7-1.2mm,0.6mm,5.5-6.0mm,,,,,,3.5mm,,,,2mm,2mm,,
hierochloe-brunonis,2-3.3mm; 1.3-2.0mm,,,,,,,50-120mm,70-300cmx4-8mm,6-7mm; 4-5mm; 0-1mm,2-4mm,1.00-1.25mm; 0.6-1mm,1mm,5-6mm,,5mm,,,,2mm,,,,4.5-6.5mm,4.5-6.5mm,,
hierochloe-cuprea,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierochloe-equiseta,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierochloe-fusca,2.5-3.5mm; 1.5-2mm,,,,,,,150-380mm,300-750x9-12mm,6-8mm; 5mm; 0-0.5mm,1.15mm,0.5-1mm; 0.5mm,1mm,5-6mm,,,,,,2-2.5x0.75mm,,,,5-6mm,5-6mm,,
hierochloe-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierochloe-recurvata,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierochloe-redolens,2-3mm; 1-1.5mm,,,7-8mm,,2mm; 0.5mm; 0.75mm,,20-30cm,70cmx8-12mm,5-6.5mm; 4.5-6mm; 0.25-0.5mm,1mm,1-1.6mm; 0.75-1mm,1mm,4-5.5mm; 4-5.5mm,,0.5-2mm,,,7-8mm,,,,,4-5mm,4-5mm,,
isachne-globosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
koeleria-cheesemanii,,,,,,,,,,,,,,,,,,,,,,,,,,,
koeleria-novozelandica,0.8-2.5mm,,,,,2x0.4mm,,3.0-16x0.5-1.2cm,3-15cmx1-1.5mm; 2mm,3.8-4.7mm,,0.7-1.1mm,0.5-0.8mm,3.5-4.3mm,,,,,,,,,,1-1.4mm,1-1.4mm,,
koeleria-riguorum,,,,,,,3.5-4mm; 4-4.2mm,2-5x0.3-1cm,3.2-9.5cmx0.3-1.2mm,,,,,,,,,,,2x0.7mm,,,25cm,,,,
lachnagrostis-ammobia,0.9-1.3mm,,,,,,,70-160x15-150mm,60-160x0.4-0.8mm; 1.2mm,2.8-3.7mm; 0.1mm,,0.9-1.2mm,,,,,,,,2.0x0.7mm,,,1m; 0.35m,,,,
lachnagrostis-billardierei,,,,,,,,,,,,,,,,,,,,,,,,,,,
lachnagrostis-elata,0.6-1.2mm,,,,,,,40-300x30-300mm,30-250x0.4-2.5mm,2.5-3.8mm; 0.2mm,,0.6-0.9mm,,,,,,,,1.5-1.8x0.5-0.7mm,,,,,,,
lachnagrostis-leptostachys,0.6-1.2mm,,,,,,,30-160x20-120mm,35-160x1-2mm; 0.5-1.0mm,2.5-3.0mm; 1-2m; 1mm,,1mm,,,,,,,,1.5x0.5mm,,,150-650mm,,,,
lachnagrostis-littoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
lachnagrostis-lyallii,0.3-1.5mm,,,,,,,40-250x10-160mm,20.0-150.0x0.3-6.0mm,1.5-2.8mm; 0.1-0.2mm,,0.7-0.9mm,,,,,,,,1.2-2.0x0.4-0.8mm,,,,,,,
lachnagrostis-pilosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
lachnagrostis-striata,0.2-0.6mm,,,,,,,20-200x15-120mm,10-100x0.6-2.0mm,1.2-2.3mm; 0.1mm,,0.3mm,,,,,,,,0.8-1.4x0.4-0.6mm,,,50-400mm,,,,
lachnagrostis-tenuis,0.5-0.9mm,,,,,,1mm,30-120x20-120mm,20-120x0.3-0.9mm,3.0-4.2mm,,0.7-1.0mm,,2.5-3.0mm,,,,,,1.4-1.6x0.5-0.7mm,,,180-360mm,,,,
lachnagrostis-uda,0.7-1.3mm,,,,,,2.5mm,3-14x1.5-8cm,3-10cmx1-2mm,2-2.5mm,,,,,,,,,,1.2-1.8x0.5-0.6mm,,,,,,,
lepturus-repens,1.2mm,,,,,,,35-70x3mm,20-60x20-60mm,3mm,,,,,,,,,,,,,,,,,
microlaena-avenacea,,,,,,,,,,,,,,,,,,,,,,,,,,,
microlaena-carsei,1-2.2mm,,,,0.5mm; 5-10mm; 0-0.5mm,,,200-300mm,80-250x4-8mm,5-16mm; 14-25mm,0.4-0.8mm,,0.65-75mm,,,,,,,3-4mm,,,,,,,
microlaena-polynoda,,,,,,,,,,,,,,,,,,,,,,,,,,,
microlaena-stipoides,1.5-2.5-4.2mm; 0.2-0.4-1.0mm,,,,2-3-4mm,3.5-4.5-5.5mm,,10-25cm; 5cm,5-25cmx2-5mm,12-20-30mm; 0.25mm; 17-26-35mm; 5-7-9mm; 0.1-1.0mm,,1-2-2.7mm,0.8-1.2mm,,,,,,,,,,,1.2-2.5-4.0mm; 0.8-1.4-2.0mm,1.2-2.5-4.0mm; 0.8-1.4-2.0mm,,
oplismenus-hirtellus,,,,,,,,,,,,,,,,,,,,,,,,,,,
paspalum-orbiculare,1mm,,,,,,,60-120mm; 30-40mm; 1.2-1.7mm,100-200x3.5-5mm,,,,,,,,,,,1mm,,,,,,,
poa-acicularifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-anceps,1.5-2.5mm,,,,,,2.0-4.5mm; 2.5-5.0mm,100-280mm,2m; 100-400x1.0-6.5mm,3.0-4.5mm,,0.5mm,,2.5-4.0mm,,,,,,2.0x0.5mm,,,,,,,
poa-antipoda,0.5-1mm,,,,,,,,75.0-250.0x2-4.5mm,2.5-5.0mm,,0.4-0.5mm,,2-4mm,,,,,,,,,,,,,
poa-astonii,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-aucklandica,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-billardierei,,,,,,,,,,,,,,,,,,,,,,,70cm,,,,
poa-breviglumis,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-buchananii,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-celsa,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-cita,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-colensoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-cookii,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-dipsacea,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-foliosa,2.0-3.3mm; 0.6-1.0mm,,,,,,,100-250mm,150-500x1-6mm,5-7mm,,0.4-0.7mm,,3.5-4.5mm,,,,,,2mm,,,1.5m,2mm,2mm,,
poa-intrusa,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-kirkii,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-lindsayi,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-maia,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-maniototo,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-pusilla,1-2mm,,,,,1x0.5mm,2-4mm,1.5-8.5cm,5-15cm,2-4mm,,0.5mm,,2-3.5mm,,,,,,,,,,,,,
poa-pygmaea,1.2-1.6mm,,,,,,2.5-3.5mm,5-10mm,3-7x1-2mm,3.0-3.5mm,,0.4-0.6mm,,2.5-3.0mm,,,,,,1.5-2.0x0.5mm,,,,,,,
poa-ramosissima,1.5-2.5mm; 1.5mm; 0.1-0.7mm; 1.5mm,,,,,,,20-100mm,40-150x1-2mm,3.8-5.0mm,,0.3-1.0mm,,2.5-4.5mm,,,,,,1.0x0.5mm,,,,,,,
poa-schistacea,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-senex,0.3-0.4mm,,,,,,,,10-35x1-2mm,2.0-2.5mm,,0.1mm,0.4-0.5mm,1.5-1.8mm,,,,,,1.0x0.5mm,,,250mm,0.8-1mm,0.8-1mm,,
poa-spania,0.7-1.1mm,,,,,,2-2.5mm,20-60mm,60x1mm,2-2.4mm,,,,2mm,,,,,,,,,220mm,1-1.4mm,1-1.4mm,,
poa-subvestita,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-sudicola,,,,,,,,20-450-600mm,50-90mm; 1mm,4.5-5mm,,,,3.4mm,,,,,,,,,,,,,
poa-tennantiana,1.0-1.5mm,,,,,,,90-160mm,160.0-380.0x4.5-9.0mm,3.0-3.5mm,,0.5-0.8mm,,2.5-3.0mm,,,,,,1.5x0.5mm,,,1m,,,,
poa-tonsa,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-xenica,2.75-3.75mm,,,,2.0-2.2mm; 0.8-1.0mm,,,250mm; 2.5mm,100mm; 800x3-4mm,4.5-6.0mm,,0.5-1.0mm,0.8-1.2mm,4.5-5.2mm,,,,,,,,,,2.0-3.5mm,2.0-3.5mm,,
puccinellia-macquariensis,0.4-0.9mm,,,,,,,15-60x0.5-1.0mm,1mm,3-4mm,,,,,,,,,,1.5-1.7x0.6-0.8mm,,,,,,,
puccinellia-raroflorens,0.4-0.6mm,,,,,,,10-16mm,10-30x0.2-0.5mm,1.8-2.5mm,,,,,,,,,,1.2-1.6x0.6-0.7mm,,,,,,,
puccinellia-stricta,0.4-1.0mm,,,,,,0.6-2.3mm; 1.3-3.5mm,20-200x2-55mm,10-120mm; 0.5mm,2-4mm,,,,,,,,,,1.0-1.8x0.4-0.7mm,,,,,,,
puccinellia-walkeri,0.6-1.5mm,,,,,,1.5-4.2mm; 2-5mm,30-170x5-110mm,50-250mm; 5-10mm,3-5mm,,,,,,,,,,1.5-2.6x0.4-0.8mm,,,,,,,
rytidosperma-australe,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-biannulare,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-buchananii,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-clavatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-corinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-exiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-gracile,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-horrens,0.7-1.0mm,,,,,,5-6mm,,10-15mm; 25-30x0.5mm,2mm,1.5-2.5mm; 1.0-1.5mm; 1mm,,0.5-0.8mm,,,2-5mm,,,,1.40-1.50x0.75mm,,,,1.20-1.75mm,1.20-1.75mm,,
rytidosperma-maculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-merum,0.3-1.5mm,,,,,,7-15mm,0.14m; 80mm,1.5mm; 250-400mm,2.5-4mm,3-8.5mm,,,2.5-5mm,,,,,,1.7-2.5x0.9-1.2mm,,,,,,,
rytidosperma-nigricans,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-nudum,,,,,,,3.5-7.0mm,30mm,80mm,2.3-3.5mm,0.2-0.5mm,,,2.4-2.8mm,,,,,,,,,,,,,
rytidosperma-petrosum,0.7-1.5mm,,,,,,8.5-15mm,40mm,150mm,2.5-3.5mm,4.5-8mm,,,,,,,,,2.5x1.0mm,,,,,,,
rytidosperma-pulchrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-pumilum,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-setifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-telmaticum,0.30-0.75mm,,,,,,4-5mm,30-70mm; 5-35mm,5-10mm; 10-25x2mm,1.50-1.75-2.25mm,0.2-0.5mm,,0.4-0.5mm,,,,,,,0.8-1.0mm,,,,0.75-1.00mm,0.75-1.00mm,,
rytidosperma-tenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-thomsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-unarede,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma-viride,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplicia-buchananii,0.7-1.3mm,,,,,,,40-180mm,100.0-200.0x1.5-4.0mm,,,,,,,,,,,1.5mm,,,1m; 05m,,,,
simplicia-laxa,0.30-0.45mm,,,,,1.4-1.5mm,0.5-0.8mm; 0.75-1.0mm,100-150mm,0.20-0.25mm; 0.35-0.40mm; 160x3.0mm,2.8-3.2mm; 0.10-0.25mm; 0.12-0.13mm,,,1.0-1.25mm,2.4-2.8mm,,1.00-1.06mm,,,,,,0.20-0.25mm,,,1.10-1.25mm,,
spinifex-sericeus,6mm; 1.5mm,,,,,,,0-120mm; 10mm; 150mm,300mm; 1.5mm,,,0.6x0.3mm; 1x1mm,1.5-2.0mm,,,,,,,4.5-5.0x2.5mm,,,,17-20mm,17-20mm,,
stenostachys-deceptorix,3.0-3.5mm,,,3.0-3.5mm,,,5-10mm,100-200mm,50-100mm; 100-300x1-2.5mm; 0.5mm,8-10mm,,0.7-0.8mm,0.75-1.00mm,8-10mm,,,,,3.0-3.5mm,5.0-5.5mm,,,,2.5mm,2.5mm,,
stenostachys-enysii,,,,,,,6-9mm,50-130mm,60-80mm; 200x2-4mm,7-10mm,,,,1-3.5mm; 6-9mm,,,,,,,,,,,,,
stenostachys-gracilis,1.5-2.0mm,,,,,,0-3mm; 5-6mm,100-300mm,50-150mm; 0.5-1.0mm; 100-200x1.5-2.0mm; 0.5-1.0mm,7-10mm; 1.5-6.0mm,,0.75-1.00mm,1.25-1.40mm,5-7mm,,,,,,4.00-4.25mm,,,,1.5-2.0mm,1.5-2.0mm,,
trisetum-antarcticum,1.0-1.7mm,,,,,,,20-150x6-25mm,40mm; 35-220x1.5-4mm,4.0-6.2mm,,1mm,0.8mm,,,,,,,2.5-3.0x0.6mm,,,400mm,1.3mm,1.3mm,,
trisetum-arduanum,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisetum-drucei,0.8-2mm,,,,,,,50-200x10-30mm,20-80mm; 30-300x0.5-4mm,3.5-6mm,,0.8-1.2mm,0.8mm,,,,,,,2.5-3x0.7-0.8mm,,,,,1.2mm,,
trisetum-lasiorhachis,,,,,,,,30-210x10-50mm,60mm; 50-250x1.3-3.0mm,5.0-7.5mm,,1.3mm,1mm,,,,,,,2.5x0.8mm,,,50-850mm,2.4mm,2.4mm,,
trisetum-lepidum,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisetum-serpentinum,1.5mm,,,,,,,20-100x5-20mm,10-40mm; 20-160mm; 1mm; 2mm,3.0-4.5mm,,1mm,0.8mm,,,,,,,,,,800mm,1mm,1mm,,
trisetum-spicatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisetum-tenellum,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisetum-youngii,,,,,,,,,,,,,,,,,,,,,,,,,,,
zotovia-acicularis,1.1-1.5mm,,,,,,2-3.5mm,1cm,8mm; 1-2.6cmx0.5mm,,,,,,,,,,,,,,,,,,
zotovia-colensoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
zotovia-thomsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoysia-minima,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoysia-pauciflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
muehlenbeckia-astonii,,,,,,2-2.5x1.25mm,,,2-15mm,,,,,,,,,3-10mm,,,,,4x4m,,,,
muehlenbeckia-axillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,
muehlenbeckia-complexa,,,,,,,,,,,,,,,,,,,,,,,,,,,
muehlenbeckia-ephedroides,,,,,,3x1.5mm,,,5-25mm,,,,,,,1-1.5mm,3-3.5mm,,,,,,1.5m,,,,
persicaria-prostrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
polygonum-plebium,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumex-flexuosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumex-neglectus,,,,,,,,,,,,,,,,,,,,,,,3-5cmx2-3cm; 1-3cm,,,,
lepilaena-bilocularis,2x0.6mm,,,,1.5x0.5mm,,,,4mm; 2.5-3.5x1mm,,,,,,,,,,,1.5-2x0.5mm,,,,,1mm,,
potamogeton-suboblongus,,,,,,,,10-20mm,15-60x8-35mm,,,,,,,,,,,2.0x1.5mm,,,,,,,
stuckenia-pectinata,,,,,,,,20-40mm,10-40mm; 5mm; 50-120x1mm,,,,,,,,,,,3x2.5mm,,,,,,,
zannichellia-palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,
myrsine-aquilonia,1.2-1.5x0.6-0.8mm,,,,,3.8-4.7x3.5-4.7mm,,,12-28x10-17mm,,,,,,,,1.6-1.7x1-1.1mm; 2.5-2.8x1.2-1.3mm,,,,,,12m,0.6-0.8x0.6-0.8mm,0.2-0.3mm,,
myrsine-argentea,,,,,,,,,5-20x5-15mm,,,,,,,,1-1.6x1-1.1mm,,,,0.75-1x0.75mm,,9m,,,,
myrsine-australis,,,,,1.5-2.5mm,2-3mm,,,30-60x15-25mm,,,,,,,,,5mm,,,,,6m,,,,
myrsine-divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,
myrsine-nummularia,,,,,,,,,,,,,,,,,,,,,,,,,,,
myrsine-oliveri,,1.6-2.0mm; 1.8-2.2mm; 1.7-2.0mm,2.4-3.0mm; 2.8-3.6mm; 2.42-2.8mm,,,5.0-8.1mm,,,50-65x30-40mm,,0.6-0.9x0.2-0.5mm; 2.3-3.0x1.3-1.4mm; 0.8-1.1x0.4-0.6mm; 2.6-3.8x1.6-1.9mm; 0.6-0.9x0.2-0.5mm; 2.3-2.9x1.2-1.31mm,,2.0x2.4mm; 2.0x2.4mm,,,1.8-2.2mm,,5-10mm,,3.0-4.0x5.0-6.0mm,,2.2-2.8x0.22-0.30mm; 2.2-2.8x0.22-0.30mm,5m,2.2-2.8mm; 2.2-2.8mm,,0.5-0.8mm; 0.4-0.6mm; 0.65-0.8mm; 0.45-0.8mm; 0.34-0.7mm; 0.4-0.6mm,
myrsine-salicina,1.1-1.8x0.8-1.2mm,1.3-1.9mm; 1.6-2.0mm,2.8-4.2mm; 3.0-4.2mm,,,8-9mm; 8-10mm,,,70-180x20-30mm,,0.7-1.0x0.6-0.8mm; 2.0-2.4x1.0mm; 0.7-1.1x0.6-0.9mm; 2.6-2.8x1.0-1.4mm,,1x1mm; 2.5mm; 0.7-0.9x0.8-1.0mm,,,,,10-14mm,,5.0-6.7x3.5-4.5mm,,,10m,0.30-0.48mm; 0.8-0.85mm,,0.2-0.6mm; 0.2-0.3mm; 0.4-0.7mm; 0.3-0.6mm,
myrsine-umbricola,1.1-1.4x0.6-1mm,,,,,3.4-5.3x3.4-5.2mm,,,11-22x7-11mm,,,,,,,,1.3-1.6x1-1.1mm; 2-2.5x1.4-1.6mm,,,,,,4x4-5m,0.6-0.8x0.6-0.8mm,0.2mm,,
samolus-repens,,,,,,,,,,,,,,,,,,,,,,,,,,,
knightia-excelsa,,,,,,30-40mm,,100mmx60mm,150-300x10-15mm; 100-150x25-40mm,,,,,,,,,,,10mm; 15mm,,,30m,,,,
toronia-toru,,,,,,12-18mm,,60mm,160-250mmx8-15mm,,,,,,,,5-9mm,2-4mm,,9-14mm,,,12m,,,,
myosurus-minimus,,,,,,,,,,,,,,,,,,,,,,,,,,,
anemone-tenuicaulis,,,,,,,,,,,,,,,,,,,,,,,,,,,
caltha-novae-zelandiae,,,,,12-18mm,,,,8-25x4-12mm,,,,,,,,,100mm,,1.2-2.0mm,10.0-30.0x1.8-3.0mm,,30-50-180mm,,2mm,,
caltha-obtusa,,,,,12-18mm,,,,8-12x7.5-11.0mm,,,,,,,,,8-12mm,,1.2-1.5mm,8-18x6-12mm,,20-60mm; 60mm,,,,
ceratocephala-pungens,,,,,2-5mm,,,,4-8x3-10mm,,,,,,,,,,,3-4x1.5mm,4-5mm,,1.5-2cm,,,,
clematis-afoliata,,,,,,,,,,,,,,,,,,,,,,,,,,,
clematis-cunninghamii,0.7-1mm; 1cm,,,,,,,8cm,1.5-4x1-2cm,,,,,,,,,3cm,,2.6-3.4mm,9-12x2-5mm; 8-13x2-3mm,,3m,,20-26cm,,
clematis-foetida,0.8-1.5mm; 1cm,,,,,,,8cm,5.5-9x4.5-8cm,,,,,,,,,1.5-5cm,,2.2-3.0mm,6-12x2-5mm; 6-11x3-5mm,,6m,,15-28cm,,
clematis-forsteri,2.4-3.5mm; 3-11mm,,,,,,,,3-10x4-8cm; 10-60mm,,,,,,,25-95mm,,2-5cm,,,10-25x3-13mm; 13-25x3.8-7mm,,,,20-35cm,,
clematis-marata,,,,,,,,,,,,,,,,,,,,,,,,,,,
clematis-marmoraria,1.0-1.8mm,,,,20-30mm,,,,1-60mm; 1-5mm; 40mm; 3-21mm,,,,,,,,,5-18mm,,3-4mm,6-18x3.0-10.5mm,5-9mm,,,15-30mm,,
clematis-paniculata,1.5-2.0mm,,,,,,,,70-130x60-120mm,,,,,,,,,30-60mm,,2-4mm,25-35x8-15mm; 20-25x7-10mm,,,,3.5-6.5cm,,
clematis-petriei,2-2.3x0.6mm,,,,12-35mm,,,,10-30x4-18mm,,,,1.2x0.4mm,,,10-40mm,,10-25mm,,3.5-4.4x1.5-2.3mm,5.5-20x1.7-9mm; 6-15x3.5-5mm,1.8-7.4mm,,,4.4-5.3x1.2-0.4mm,,
clematis-quadribracteolata,0.5-1.5mm; 1cm,,,,,,,,1.5-3x0.5-2cm; 1-11mm; 8cm,,,,,,,,,1-2.5cm,,2.8-3.5mm,5-15x1-2mm,,,,15-25cm,,
ranunculus-acaulis,,,,,5-10mm,,,,5-15mm,,,,,,,,,,,,,,,,,,
ranunculus-acraeus,1.8-2.8mm,,,,40-50mm,,,80-400x5-14mm,60-75x75-130mm,,,,,,,,22-27x5-13mm,50-250x5-9mm,,6.4-7.3x2.7-3.4mm,20-22x8-11mm,1.6-8.5x0.7-1.4mm,40cm; 1m,,,,
ranunculus-altus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-amphitrichus,,,,,7-12mm,,,,10-20mm,,,,,,,,2-4mm,5-10mm,,,,,,,,,
ranunculus-biternatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-brevis,,,,,10mm; 40mm,,,,10-30mm,,,,,,,,2-2.8x0.5-1mm,,,1.2-2mm; 0.3-0.5mm,,,50mm,,,,
ranunculus-buchananii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-carsei,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-cheesemanii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-crassipes,,,,,,,,,3-12mm,,,,,,,,,15-50mm,,1.5-1.7mm,4.5-6mm,1.7-3mm,,,,,
ranunculus-crithmifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-enysii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-foliosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-glabrifolius,,,,,12-15mm,,,,10-30mm,,,,,,,,5-11mm,50-150mm,,,,,,,1.5-2.0mm,,
ranunculus-godleyanus,,,,,30-50mm,,,,60-150x40-100mm,,,,,,,,,50-150x5-15mm,,,,,0.6m; 0.2-0.6m,,,,
ranunculus-grahamii,,,,,20-30mm,,,,,,,,,,,,,50-80mm,,,,,70-120mm,,,,
ranunculus-haastii,,,,,,,,,,,,,,,,,,,,,,,50-150mm,,,,
ranunculus-kirkii,,,,,8-18mm,,,,5-25mm,,,,,,,,2-4x0.9-1.2mm,,,2.5-3.4mm,,,250mm,,,,
ranunculus-limosella,,,,,6-8mm,,,,,,,,,,,,,,,,,,1-2cm,,,,
ranunculus-macropus,,,,,10-15mm,,,,20-40mm,,,,,,,,0.5-1mm,15-30mmx5-10mm,,1.5-2mm; 1-1.5mm,,,,,,,
ranunculus-maculatus,,,,,8-10mm,,,,16mm; 14x3mm; 9x10mm,,,,,,,,5x2mm,,,1.5-1.9mm,3x2mm,,50mm,,,,
ranunculus-membranifolius,,,,,,,,,1-2cm,,,,,,,2-6cm,,,,,,,,,,,
ranunculus-mirus,,,,,18-25mm,,,,7-15x10-18mm,,,,,,,,1.6-2mm,,,,,,,,,,
ranunculus-multiscapus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-nivicola,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus-pachyrrhizus,,,,,,,,,,,,,,,,,,,,,,,,,,,
